place,user,score
1,mirusu400,3860
2,Simnple,3820
3,nicetauren,3385
4,mov,3375
5,sisiqjsk,2680
6,Bull,2495
7,pinkmon,2180
8,santastuckoverflue,2125
9,suriryuk,2120
10,hooya0011,2120
11,stagnes,2015
12,lecky,1930
13,coldmon,1920
14,seokyun,1860
15,ksasha,1750
16,throwaway313378899,1720
17,SeangG,1350
18,gusah009,1340
19,HacKio,1255
20,groot,1240
21,whitebear,1220
22,abcm1316,1220
23,Sechack,1220
24,Ready_OR_NoT,1170
25,문희성,1120
26,NOTITLE,1120
27,DevDori,1100
28,Cheese_bread,1070
29,geeneoning,1050
30,환의귀환,1040
31,Santa,970
32,shyeun,950
33,fps0123,940
34,doo6340,900
35,sioa,870
36,0924qaz,855
37,reaunper,800
38,cocococo,800
39,yeseong,780
40,christmas001,770
41,한수호,740
42,ceta,740
43,데이드림,725
44,sihnhee,655
45,mjjang0000,620
46,oryong,600
47,kyu,600
48,R1K3R,590
49,인플러,560
50,kin seung woo,550
51,khs110218,520
52,wine,520
53,910,505
54,mermaid,500
55,neonda,500
56,aidenhwang1,485
57,yunsXx,470
58,kjh11z,460
59,조암 저격수,450
60,huingman,420
61,로봇자객,405
62,Esther,400
63,kimon,400
64,ynsp,400
65,minlee,400
66,HHO1,400
67,jjerry,400
68,Lbyte,400
69,jun288934,390
70,TunaF,350
71,뉴비개발자,350
72,포툰,350
73,johyeongjin0216,320
74,biyam,320
75,boy71,300
76,jy05un,300
77,zen,270
78,koklekle,250
79,leesh,250
80,wisemin,250
81,mitoconcrete,250
82,CRMS2,250
83,isaac,250
84,snowpink,250
85,zjaan7946,235
86,moj,220
87,BlackSwan,200
88,pago,200
89,eunhey,200
90,jun0911.dev,185
91,rlxnfhkz,185
92,KousakaSora,170
93,minjunkim134,170
94,Ricky,150
95,ds5x45,150
96,gusdn0403,150
97,BOO,150
98,ze,150
99,melonmango,150
100,amber5234,120
101,Rippin2006,120
102,이정훈,120
103,corgi,100
104,YuChan,100
105,sdamsdam,100
106,dlap,100
107,ahen,100
108,Subak,100
109,무말랭이,100
110,jiwoo3688,70
111,pck6494,50
112,Klartraum1119,50
113,lu7,50
114,me2nuk,50
115,power16,50
116,sen120500,50
117,yjh9589,50
118,Uinna,50
119,mdmk_0o3,50
120,Dinga,50
121,john_h999,50
122,sjcode101,50
123,pwh0904,50
124,박건희,50
125,ekals,50
126,tag,50
127,apaaaajaja,20
128,qwerty,20
